Day	Fajr	Shuruk	Duhr	Asr	Maghrib	Isha
1	5:43	7:07	13:09	16:33	19:10	20:25
2	5:44	7:07	13:10	16:34	19:10	20:25
3	5:44	7:08	13:10	16:34	19:11	20:25
4	5:45	7:08	13:11	16:35	19:11	20:26
5	5:45	7:09	13:11	16:35	19:12	20:26
6	5:46	7:09	13:12	16:35	19:12	20:27
7	5:46	7:10	13:12	16:36	19:13	20:27
8	5:47	7:10	13:13	16:36	19:13	20:27
9	5:47	7:10	13:13	16:37	19:13	20:28
10	5:48	7:11	13:13	16:37	19:14	20:28
11	5:48	7:11	13:14	16:37	19:14	20:28
12	5:49	7:12	13:14	16:38	19:15	20:29
13	5:49	7:12	13:15	16:38	19:15	20:29
14	5:50	7:12	13:15	16:38	19:15	20:29
15	5:50	7:13	13:15	16:39	19:16	20:30
16	5:51	7:13	13:16	16:39	19:16	20:30
17	5:51	7:13	13:16	16:39	19:17	20:30
18	5:52	7:14	13:16	16:39	19:17	20:30
19	5:52	7:14	13:17	16:40	19:17	20:31
20	5:52	7:14	13:17	16:40	19:18	20:31
21	5:53	7:15	13:17	16:40	19:18	20:31
22	5:53	7:15	13:18	16:40	19:18	20:31
23	5:54	7:15	13:18	16:40	19:19	20:32
24	5:54	7:15	13:18	16:41	19:19	20:32
25	5:54	7:16	13:18	16:41	19:19	20:32
26	5:55	7:16	13:19	16:41	19:19	20:32
27	5:55	7:16	13:19	16:41	19:20	20:32
28	5:55	7:16	13:19	16:41	19:20	20:32
29	5:56	7:16	13:19	16:41	19:20	20:32
30	5:56	7:16	13:19	16:41	19:20	20:32
31	5:56	7:17	13:20	16:41	19:20	20:32
